steps, health, gold, time, win
337, -1, 20, 201, 0
965, 1012, 250, 562, 1
267, -44, 0, 144, 0
622, 1369, 150, 345, 1
242, -36, 30, 136, 0
115, -61, 0, 61, 0
994, 1212, 140, 589, 1
724, 2345, 140, 409, 1
453, 2663, 260, 238, 1
128, -69, 0, 69, 0
254, -33, 0, 133, 0
414, -40, 0, 240, 0
346, -91, 0, 191, 0
635, -83, 20, 383, 0
231, -28, 0, 128, 0
775, 1551, 490, 420, 1
256, -41, 0, 141, 0
1085, -51, 30, 651, 0
1029, 1970, 230, 582, 1
545, 2420, 180, 302, 1
183, -1, 0, 101, 0
560, 47, 290, 309, 1
596, 3066, 150, 335, 1
105, -56, 0, 56, 0
676, 1543, 400, 365, 1
566, -32, 20, 332, 0
281, -53, 160, 153, 0
242, -25, 60, 125, 0
781, 2002, 210, 456, 1
198, -6, 0, 106, 0
226, -23, 0, 123, 0
279, -55, 0, 155, 0
230, -22, 50, 122, 0
988, 2371, 110, 581, 1
650, -31, 40, 381, 0
548, -6, 0, 306, 0
290, -69, 100, 169, 0
691, 1178, 1010, 388, 1
358, -1, 10, 201, 0
102, -58, 0, 58, 0
314, -62, 30, 162, 0
486, -76, 170, 276, 0
120, -65, 0, 65, 0
366, -9, 20, 209, 0
409, -27, 20, 227, 0
794, 1959, 420, 449, 1
252, -45, 0, 145, 0
254, -33, 0, 133, 0
209, -12, 0, 112, 0
795, 856, 120, 460, 1
183, -96, 0, 96, 0
343, -84, 30, 184, 0
374, -7, 10, 207, 0
594, 1783, 410, 325, 1
270, -61, 30, 161, 0
609, 2377, 200, 326, 1
369, -5, 40, 205, 0
357, -98, 50, 198, 0
500, -73, 60, 273, 0
250, -35, 0, 135, 0
744, 861, 390, 397, 1
261, -43, 0, 143, 0
783, 115, 140, 442, 1
513, -1, 10, 301, 0
258, -47, 20, 147, 0
329, -79, 100, 179, 0
622, 658, 410, 343, 1
724, -1, 160, 409, 0
185, -1, 0, 101, 0
563, -44, 240, 307, 0
236, -24, 40, 124, 0
571, -1, 180, 313, 0
421, -30, 60, 230, 0
285, -60, 0, 160, 0
447, -48, 100, 248, 0
426, -33, 260, 233, 0
290, -61, 50, 161, 0
191, -101, 0, 101, 0
82, -46, 0, 46, 0
159, -85, 0, 85, 0
514, 570, 130, 285, 1
597, 283, 300, 348, 1
343, -98, 40, 198, 0
180, -96, 50, 96, 0
350, -95, 0, 195, 0
596, 2823, 210, 333, 1
566, -1, 120, 301, 0
283, -64, 50, 164, 0
160, -90, 0, 90, 0
365, -1, 100, 201, 0
280, -57, 0, 157, 0
329, -74, 30, 174, 0
176, -1, 0, 101, 0
181, -1, 0, 101, 0
284, -53, 0, 153, 0
724, 1954, 110, 397, 1
110, -57, 20, 57, 0
511, -94, 40, 294, 0
1436, -78, 40, 882, 0
243, -29, 10, 129, 0
716, 519, 750, 417, 1
202, -11, 0, 111, 0
533, -1, 230, 305, 0
408, -13, 30, 217, 0
382, -1, 10, 208, 0
115, -59, 0, 59, 0
666, 51, 120, 361, 1
421, -79, 360, 233, 0
296, -65, 200, 165, 0
143, -75, 0, 75, 0
151, -81, 60, 81, 0
246, -38, 0, 138, 0
243, -28, 50, 128, 0
129, -68, 0, 68, 0
307, -75, 40, 175, 0
457, -48, 10, 248, 0
211, -14, 10, 114, 0
75, -41, 0, 41, 0
289, -51, 220, 157, 0
615, 73, 250, 352, 1
343, -96, 0, 196, 0
555, 1101, 190, 322, 1
256, -41, 0, 141, 0
382, -26, 140, 226, 0
789, 1064, 410, 460, 1
441, -42, 0, 242, 0
207, -14, 0, 114, 0
140, -74, 0, 74, 0
658, 690, 600, 361, 1
674, -1, 20, 401, 0
380, -7, 120, 207, 0
78, -42, 0, 42, 0
559, 2524, 280, 312, 1
194, -5, 0, 105, 0
78, -41, 0, 41, 0
175, -96, 30, 96, 0
277, -52, 50, 152, 0
339, -94, 160, 194, 0
201, -8, 0, 108, 0
420, -33, 150, 233, 0
514, 435, 120, 279, 1
141, -80, 0, 80, 0
174, -91, 0, 91, 0
182, -1, 0, 101, 0
746, 1489, 310, 421, 1
265, -52, 10, 152, 0
1564, -44, 40, 944, 0
1524, 2291, 140, 877, 1
363, -1, 10, 201, 0
153, -79, 0, 79, 0
105, -56, 0, 56, 0
286, -66, 20, 166, 0
567, 644, 340, 310, 1
362, -7, 0, 207, 0
709, -58, 50, 408, 0
548, 2150, 430, 301, 1
363, -100, 340, 200, 0
321, -81, 120, 181, 0
518, -101, 30, 301, 0
358, -101, 0, 201, 0
118, -64, 0, 64, 0
278, -54, 0, 154, 0
396, -1, 30, 226, 0
199, -8, 0, 108, 0
317, -78, 150, 178, 0
192, -2, 0, 102, 0
240, -36, 0, 136, 0
199, -10, 0, 110, 0
329, -76, 100, 176, 0
133, -75, 0, 75, 0
276, -47, 40, 147, 0
616, 4065, 430, 339, 1
599, -36, 110, 336, 0
609, 2478, 220, 334, 1
750, 299, 270, 427, 1
823, -87, 140, 487, 0
195, -6, 0, 106, 0
483, 1483, 310, 268, 1
371, -100, 250, 203, 0
267, -37, 60, 137, 0
1337, -93, 130, 798, 0
169, -90, 0, 90, 0
294, -56, 0, 156, 0
483, -73, 50, 274, 0
523, 2367, 170, 294, 1
460, -57, 220, 257, 0
138, -75, 0, 75, 0
292, -62, 160, 162, 0
398, -16, 230, 218, 0
369, -1, 180, 201, 0
158, -83, 0, 83, 0
659, -1, 40, 401, 0
187, -6, 0, 106, 0
639, 915, 290, 338, 1
397, -26, 50, 226, 0
212, -18, 30, 118, 0
1179, 423, 200, 690, 1
569, 1333, 220, 322, 1
135, -73, 0, 73, 0
476, -13, 130, 269, 0
440, -49, 50, 249, 0
320, -74, 30, 174, 0
190, -2, 0, 102, 0
646, -90, 390, 359, 0
139, -72, 0, 72, 0
159, -87, 30, 87, 0
540, -6, 330, 311, 0
188, -1, 110, 101, 0
115, -70, 0, 70, 0
123, -64, 0, 64, 0
100, -54, 40, 54, 0
344, -86, 0, 186, 0
197, -10, 0, 110, 0
510, -99, 0, 299, 0
263, -39, 100, 139, 0
794, 69, 220, 449, 1
423, -41, 30, 241, 0
214, -16, 0, 116, 0
168, -91, 0, 91, 0
296, -55, 0, 155, 0
243, -31, 0, 131, 0
315, -94, 110, 194, 0
258, -42, 40, 142, 0
398, -18, 50, 218, 0
255, -35, 0, 135, 0
525, 783, 110, 302, 1
276, -55, 60, 155, 0
106, -58, 0, 58, 0
239, -28, 40, 128, 0
289, -53, 0, 153, 0
257, -48, 20, 148, 0
401, -11, 400, 222, 0
543, -11, 110, 311, 0
713, 1609, 130, 408, 1
342, -81, 230, 181, 0
246, -30, 0, 130, 0
514, -90, 20, 290, 0
263, -51, 160, 151, 0
357, -90, 210, 190, 0
474, -61, 80, 261, 0
731, 107, 330, 430, 1
519, 1825, 500, 280, 1
553, 2807, 590, 302, 1
413, -22, 30, 222, 0
301, -66, 90, 166, 0
240, -25, 20, 125, 0
709, -33, 700, 396, 0
759, 646, 470, 436, 1
786, -2, 90, 454, 0
447, -63, 40, 263, 0
164, -96, 10, 96, 0
577, -16, 110, 316, 0
104, -55, 0, 55, 0
155, -82, 0, 82, 0
443, -47, 120, 247, 0
126, -67, 0, 67, 0
395, -56, 220, 210, 0
910, 697, 190, 517, 1
221, -21, 0, 121, 0
356, -99, 70, 199, 0
143, -85, 0, 85, 0
149, -87, 0, 87, 0
190, -101, 0, 101, 0
234, -30, 0, 130, 0
620, 430, 260, 341, 1
202, -8, 0, 108, 0
1323, -100, 350, 820, 0
277, -51, 0, 151, 0
189, -9, 70, 109, 0
498, -18, 40, 276, 0
302, -66, 60, 166, 0
396, -27, 10, 228, 0
135, -73, 0, 73, 0
288, -61, 70, 161, 0
140, -80, 0, 80, 0
108, -60, 0, 60, 0
268, -47, 80, 147, 0
280, -51, 80, 151, 0
363, -98, 30, 198, 0
528, -11, 10, 311, 0
333, -91, 30, 191, 0
189, -1, 0, 101, 0
297, -59, 120, 159, 0
968, 2866, 480, 547, 1
721, 1702, 370, 402, 1
112, -62, 0, 62, 0
539, -15, 10, 315, 0
412, -43, 20, 243, 0
137, -72, 0, 72, 0
296, -54, 60, 154, 0
365, -21, 30, 221, 0
457, -52, 50, 252, 0
266, -49, 40, 149, 0
195, -17, 0, 117, 0
295, -66, 20, 166, 0
239, -35, 0, 135, 0
181, -100, 0, 100, 0
482, -84, 20, 284, 0
653, 478, 100, 388, 1
1042, -21, 10, 621, 0
261, -46, 40, 146, 0
580, 1810, 440, 315, 1
749, 128, 210, 432, 1
127, -68, 0, 68, 0
766, -41, 190, 449, 0
113, -60, 0, 60, 0
149, -86, 0, 86, 0
206, -8, 80, 108, 0
253, -32, 110, 132, 0
377, -4, 30, 204, 0
444, -53, 30, 253, 0
364, -95, 20, 195, 0
283, -48, 0, 148, 0
419, -25, 10, 225, 0
504, 350, 130, 277, 1
868, -101, 20, 501, 0
197, -8, 0, 108, 0
433, -51, 40, 254, 0
293, -66, 20, 166, 0
167, -92, 0, 92, 0
197, -1, 0, 101, 0
400, -17, 70, 217, 0
155, -81, 0, 81, 0
920, 106, 130, 495, 1
252, -38, 70, 138, 0
821, 1414, 360, 466, 1
236, -24, 60, 124, 0
184, -2, 0, 102, 0
69, -37, 0, 37, 0
450, -51, 0, 251, 0
702, -11, 10, 411, 0
207, -11, 0, 111, 0
546, 2448, 210, 303, 1
130, -79, 20, 79, 0
493, 1286, 290, 268, 1
622, 1467, 140, 339, 1
439, -52, 190, 253, 0
416, -25, 110, 225, 0
204, -8, 0, 108, 0
233, -32, 20, 132, 0
377, -1, 20, 209, 0
329, -22, 50, 173, 0
165, -88, 0, 88, 0
891, 1604, 230, 500, 1
580, 1080, 190, 321, 1
258, -48, 0, 148, 0
782, -63, 170, 463, 0
327, -85, 90, 185, 0
328, -73, 10, 173, 0
312, -71, 100, 171, 0
209, -24, 0, 124, 0
280, -53, 40, 153, 0
282, -55, 0, 155, 0
119, -63, 0, 63, 0
385, -56, 550, 212, 0
303, -74, 20, 174, 0
553, -7, 10, 307, 0
103, -62, 0, 62, 0
104, -58, 0, 58, 0
148, -78, 0, 78, 0
833, 1562, 290, 446, 1
607, 185, 250, 338, 1
523, 224, 170, 296, 1
217, -20, 0, 120, 0
201, -9, 50, 109, 0
114, -63, 0, 63, 0
294, -62, 90, 162, 0
473, 2189, 140, 264, 1
266, -43, 0, 143, 0
201, -10, 0, 110, 0
309, -70, 0, 170, 0
317, -77, 90, 177, 0
280, -50, 0, 150, 0
92, -48, 0, 48, 0
192, -2, 40, 102, 0
123, -64, 0, 64, 0
368, -1, 10, 201, 0
293, -65, 150, 165, 0
147, -78, 40, 78, 0
397, -33, 190, 233, 0
338, -77, 200, 177, 0
163, -89, 0, 89, 0
698, 2479, 560, 389, 1
509, -90, 120, 291, 0
715, 2815, 940, 402, 1
696, 2275, 190, 385, 1
245, -39, 0, 139, 0
535, -100, 120, 300, 0
539, -3, 120, 303, 0
330, -90, 60, 190, 0
233, -32, 0, 132, 0
394, -14, 10, 214, 0
217, -15, 0, 115, 0
311, -66, 0, 166, 0
188, -12, 0, 112, 0
383, -8, 190, 208, 0
290, -70, 0, 170, 0
190, -1, 0, 101, 0
1326, -58, 30, 858, 0
859, 2621, 150, 492, 1
86, -44, 0, 44, 0
937, 1055, 110, 550, 1
114, -61, 0, 61, 0
354, -98, 10, 198, 0
359, -101, 30, 201, 0
161, -84, 0, 84, 0
522, -20, 150, 294, 0
484, -1, 0, 301, 0
348, -96, 60, 196, 0
839, -92, 300, 492, 0
178, -93, 50, 93, 0
311, -73, 0, 173, 0
185, -10, 0, 110, 0
458, -69, 50, 269, 0
496, -87, 20, 287, 0
