steps, health, gold, time, win
946, 2921, 120, 555, 1
223, -22, 0, 122, 0
264, -42, 60, 142, 0
702, 3069, 250, 389, 1
253, -42, 0, 142, 0
580, 2034, 330, 321, 1
657, 2892, 220, 362, 1
437, -41, 20, 241, 0
482, -70, 0, 270, 0
453, -44, 50, 244, 0
302, -65, 60, 165, 0
502, -100, 20, 300, 0
339, -83, 20, 185, 0
259, -31, 10, 131, 0
206, -12, 130, 112, 0
120, -62, 0, 62, 0
334, -86, 10, 186, 0
212, -15, 0, 115, 0
413, -22, 0, 222, 0
625, -61, 310, 365, 0
216, -14, 0, 114, 0
356, -97, 80, 197, 0
198, -7, 0, 107, 0
648, 1964, 410, 351, 1
115, -60, 0, 60, 0
233, -30, 60, 130, 0
849, 1403, 500, 500, 1
322, -78, 40, 178, 0
192, -7, 0, 107, 0
985, -37, 30, 589, 0
388, -13, 50, 213, 0
159, -89, 0, 89, 0
304, -63, 80, 163, 0
470, 953, 200, 255, 1
130, -68, 50, 68, 0
191, -6, 0, 106, 0
349, -1, 0, 201, 0
183, -1, 30, 101, 0
354, -96, 10, 196, 0
92, -52, 0, 52, 0
691, -37, 20, 387, 0
473, -79, 10, 279, 0
320, -78, 20, 178, 0
237, -24, 20, 124, 0
654, 1162, 110, 359, 1
779, 786, 750, 430, 1
592, 97, 240, 327, 1
406, -21, 40, 221, 0
571, 2438, 210, 320, 1
243, -34, 10, 134, 0
282, -49, 380, 149, 0
1251, 339, 130, 712, 1
693, -48, 40, 400, 0
287, -51, 0, 151, 0
278, -47, 0, 147, 0
284, -57, 50, 157, 0
344, -90, 30, 190, 0
337, -89, 70, 189, 0
378, -10, 80, 210, 0
227, -19, 0, 119, 0
201, -9, 30, 109, 0
292, -69, 0, 169, 0
805, -6, 50, 456, 0
509, 816, 260, 286, 1
239, -30, 30, 130, 0
324, -75, 380, 175, 0
349, -1, 0, 201, 0
74, -39, 0, 39, 0
708, 673, 310, 391, 1
350, -96, 10, 196, 0
177, -1, 0, 101, 0
178, -97, 0, 97, 0
314, -78, 0, 178, 0
174, -1, 0, 101, 0
503, -1, 0, 301, 0
1090, -49, 80, 649, 0
717, 4119, 400, 388, 1
1048, 4641, 1270, 581, 1
238, -24, 200, 124, 0
762, -76, 0, 476, 0
343, -91, 0, 191, 0
544, -1, 220, 301, 0
264, -46, 50, 146, 0
186, -1, 0, 101, 0
272, -48, 0, 148, 0
126, -70, 0, 70, 0
156, -86, 0, 86, 0
246, -36, 0, 136, 0
802, 1306, 690, 467, 1
515, -77, 590, 295, 0
320, -77, 20, 177, 0
176, -1, 0, 101, 0
764, 565, 130, 455, 1
376, -8, 40, 208, 0
411, -29, 40, 229, 0
328, -74, 80, 174, 0
158, -88, 0, 88, 0
148, -78, 0, 78, 0
607, -54, 160, 354, 0
254, -37, 0, 137, 0
462, -61, 20, 261, 0
386, -16, 80, 216, 0
309, -68, 0, 168, 0
318, -76, 10, 176, 0
557, -38, 20, 338, 0
314, -73, 50, 173, 0
278, -54, 0, 154, 0
319, -68, 60, 168, 0
456, -50, 50, 250, 0
409, -41, 70, 241, 0
313, -68, 0, 168, 0
252, -35, 10, 135, 0
172, -93, 0, 93, 0
318, -70, 0, 170, 0
73, -38, 0, 38, 0
708, -59, 40, 409, 0
344, -85, 10, 185, 0
431, -61, 120, 261, 0
438, -95, 40, 245, 0
1174, -20, 20, 698, 0
633, 2006, 610, 348, 1
371, -95, 130, 195, 0
115, -60, 0, 60, 0
268, -41, 130, 141, 0
231, -26, 0, 126, 0
298, -59, 0, 159, 0
216, -16, 30, 116, 0
181, -3, 0, 103, 0
252, -37, 80, 137, 0
114, -61, 0, 61, 0
546, 853, 190, 301, 1
449, -75, 50, 275, 0
338, -85, 70, 185, 0
180, -97, 0, 97, 0
220, -22, 0, 122, 0
672, -10, 550, 374, 0
431, -49, 30, 249, 0
702, 2524, 770, 393, 1
465, -57, 20, 257, 0
266, -49, 0, 149, 0
1404, 1650, 120, 853, 1
310, -72, 0, 172, 0
441, -45, 30, 245, 0
205, -8, 10, 108, 0
357, -1, 0, 201, 0
111, -66, 0, 66, 0
174, -92, 0, 92, 0
95, -49, 0, 49, 0
590, -38, 30, 338, 0
170, -89, 0, 89, 0
539, -12, 50, 312, 0
710, -88, 390, 405, 0
357, -99, 220, 199, 0
362, -1, 70, 201, 0
133, -81, 10, 81, 0
610, 1526, 360, 329, 1
181, -95, 50, 95, 0
242, -29, 0, 129, 0
671, -1, 30, 401, 0
782, -82, 430, 444, 0
316, -73, 40, 173, 0
257, -44, 0, 144, 0
867, 1658, 640, 480, 1
211, -12, 220, 112, 0
176, -97, 0, 97, 0
244, -33, 0, 133, 0
301, -73, 90, 173, 0
299, -64, 0, 164, 0
579, 1230, 130, 328, 1
683, 1373, 150, 378, 1
261, -42, 0, 142, 0
170, -91, 0, 91, 0
440, -33, 370, 239, 0
316, -75, 20, 175, 0
377, -1, 0, 201, 0
119, -67, 0, 67, 0
428, -36, 10, 236, 0
311, -62, 30, 162, 0
352, -90, 0, 190, 0
139, -81, 0, 81, 0
528, 322, 310, 301, 1
553, -1, 270, 311, 0
163, -88, 20, 88, 0
193, -4, 80, 104, 0
312, -69, 0, 169, 0
135, -72, 0, 72, 0
388, -62, 210, 212, 0
558, 1215, 150, 313, 1
203, -12, 0, 112, 0
332, -91, 0, 191, 0
541, -1, 170, 301, 0
354, -91, 80, 191, 0
407, -32, 0, 232, 0
301, -65, 40, 165, 0
267, -55, 0, 155, 0
470, -27, 520, 258, 0
381, -15, 120, 215, 0
168, -9, 0, 109, 0
141, -95, 0, 95, 0
401, -32, 20, 232, 0
337, -90, 310, 190, 0
263, -48, 0, 148, 0
646, -75, 40, 375, 0
295, -58, 10, 158, 0
738, -48, 40, 448, 0
222, -20, 40, 120, 0
359, -97, 80, 197, 0
303, -68, 20, 168, 0
238, -40, 0, 140, 0
302, -67, 110, 167, 0
250, -36, 70, 136, 0
129, -71, 0, 71, 0
294, -59, 0, 159, 0
102, -54, 0, 54, 0
326, -83, 50, 183, 0
310, -61, 90, 161, 0
593, 477, 220, 330, 1
432, -37, 0, 237, 0
272, -47, 0, 147, 0
756, 289, 520, 427, 1
261, -40, 0, 140, 0
341, -89, 120, 189, 0
231, -24, 20, 124, 0
89, -46, 20, 46, 0
248, -32, 20, 132, 0
906, 1340, 130, 511, 1
101, -57, 0, 57, 0
981, 1370, 850, 556, 1
300, -63, 40, 163, 0
331, -86, 190, 186, 0
469, -70, 10, 270, 0
379, -3, 0, 203, 0
156, -87, 0, 87, 0
228, -21, 90, 121, 0
258, -37, 50, 137, 0
182, -99, 0, 99, 0
948, 1481, 140, 539, 1
252, -37, 180, 137, 0
134, -69, 0, 69, 0
452, -69, 10, 269, 0
305, -72, 90, 172, 0
214, -12, 0, 112, 0
911, 2152, 620, 500, 1
1403, -37, 10, 837, 0
281, -47, 10, 147, 0
293, -61, 170, 161, 0
290, -59, 40, 159, 0
148, -86, 0, 86, 0
84, -47, 0, 47, 0
310, -78, 60, 178, 0
701, 335, 160, 390, 1
303, -68, 60, 168, 0
887, 521, 720, 480, 1
129, -71, 0, 71, 0
220, -22, 0, 122, 0
595, -56, 100, 356, 0
374, -25, 20, 225, 0
174, -4, 0, 104, 0
743, 694, 390, 408, 1
380, -13, 20, 213, 0
288, -59, 0, 159, 0
225, -18, 70, 118, 0
601, 479, 200, 324, 1
318, -87, 20, 187, 0
553, 216, 150, 310, 1
433, -51, 170, 251, 0
259, -37, 120, 137, 0
518, 765, 360, 289, 1
627, 466, 540, 342, 1
245, -31, 0, 131, 0
633, 59, 630, 354, 1
258, -44, 0, 144, 0
352, -85, 240, 193, 0
424, -26, 0, 226, 0
331, -93, 60, 193, 0
535, 772, 190, 306, 1
490, 2440, 280, 261, 1
300, -66, 140, 166, 0
415, -37, 0, 237, 0
893, 2782, 380, 506, 1
187, -1, 110, 101, 0
412, -39, 20, 239, 0
938, 3600, 230, 513, 1
409, -28, 0, 228, 0
157, -84, 0, 84, 0
235, -25, 80, 125, 0
283, -65, 20, 165, 0
341, -83, 60, 183, 0
537, -1, 150, 301, 0
321, -75, 130, 175, 0
241, -31, 20, 131, 0
1084, -6, 940, 638, 0
685, -1, 20, 401, 0
507, -18, 320, 269, 0
191, -3, 0, 103, 0
193, -3, 0, 103, 0
339, -92, 110, 192, 0
715, 609, 320, 392, 1
206, -14, 10, 114, 0
583, 1977, 120, 324, 1
130, -72, 0, 72, 0
115, -61, 0, 61, 0
200, -8, 0, 108, 0
303, -66, 50, 166, 0
217, -19, 0, 119, 0
180, -1, 0, 101, 0
420, -33, 10, 233, 0
334, -76, 30, 176, 0
390, -15, 90, 215, 0
185, -6, 0, 106, 0
324, -81, 0, 181, 0
131, -68, 30, 68, 0
545, -86, 840, 303, 0
146, -76, 80, 76, 0
211, -13, 0, 113, 0
415, -31, 210, 231, 0
148, -81, 0, 81, 0
247, -36, 60, 136, 0
405, -27, 130, 227, 0
326, -72, 10, 172, 0
408, -30, 60, 230, 0
996, 1777, 1060, 545, 1
117, -69, 0, 69, 0
174, -94, 0, 94, 0
292, -58, 190, 158, 0
331, -82, 0, 182, 0
677, 2091, 360, 370, 1
749, 948, 310, 410, 1
723, 13, 320, 400, 1
127, -68, 0, 68, 0
711, 1951, 180, 406, 1
123, -67, 0, 67, 0
545, 467, 160, 300, 1
164, -87, 40, 87, 0
205, -14, 30, 114, 0
139, -71, 0, 71, 0
304, -80, 70, 180, 0
449, 67, 220, 242, 1
126, -67, 0, 67, 0
102, -54, 0, 54, 0
340, -92, 20, 192, 0
355, -95, 10, 195, 0
244, -37, 70, 137, 0
490, -72, 60, 272, 0
157, -90, 0, 90, 0
730, -9, 180, 413, 0
1023, 3623, 130, 578, 1
132, -74, 0, 74, 0
381, -20, 90, 220, 0
619, 1161, 350, 340, 1
436, -34, 10, 234, 0
308, -69, 10, 169, 0
330, -88, 0, 188, 0
149, -93, 0, 93, 0
292, -54, 0, 154, 0
519, -89, 170, 289, 0
242, -41, 0, 141, 0
162, -100, 0, 100, 0
726, 504, 120, 397, 1
240, -30, 80, 130, 0
2120, -1, 20, 1277, 0
901, 2230, 600, 492, 1
373, -7, 10, 207, 0
244, -29, 0, 129, 0
469, -55, 0, 255, 0
221, -26, 0, 126, 0
252, -37, 10, 137, 0
105, -55, 60, 55, 0
593, -1, 270, 322, 0
531, 759, 120, 292, 1
245, -34, 20, 134, 0
550, -71, 30, 321, 0
701, 570, 290, 396, 1
586, 1831, 110, 325, 1
184, -100, 80, 100, 0
546, -1, 200, 307, 0
447, -50, 40, 250, 0
577, -19, 50, 319, 0
236, -27, 20, 127, 0
177, -94, 0, 94, 0
156, -86, 0, 86, 0
222, -20, 90, 120, 0
209, -9, 0, 109, 0
323, -78, 0, 178, 0
324, -73, 140, 173, 0
283, -49, 0, 149, 0
292, -59, 60, 159, 0
685, 615, 150, 398, 1
234, -22, 90, 122, 0
887, -13, 200, 513, 0
330, -1, 0, 201, 0
172, -100, 0, 100, 0
322, -79, 30, 179, 0
692, -75, 40, 380, 0
885, 2367, 170, 490, 1
150, -87, 0, 87, 0
288, -61, 40, 161, 0
142, -77, 0, 77, 0
491, -93, 150, 293, 0
295, -68, 30, 168, 0
436, -51, 80, 251, 0
276, -47, 100, 147, 0
421, -25, 260, 226, 0
254, -44, 0, 144, 0
141, -75, 120, 75, 0
276, -47, 0, 147, 0
88, -48, 0, 48, 0
386, -1, 100, 207, 0
256, -38, 10, 138, 0
1057, 328, 340, 594, 1
373, -9, 20, 209, 0
379, -3, 110, 203, 0
294, -59, 0, 159, 0
223, -26, 10, 126, 0
243, -29, 10, 129, 0
181, -8, 0, 108, 0
492, 1387, 330, 265, 1
86, -46, 0, 46, 0
230, -31, 130, 131, 0
536, 630, 190, 303, 1
555, -90, 70, 313, 0
477, 1842, 150, 260, 1
963, -84, 70, 584, 0
242, -32, 80, 132, 0
559, 1698, 140, 310, 1
595, 2324, 190, 328, 1
480, 1952, 160, 253, 1
224, -22, 90, 122, 0
98, -55, 0, 55, 0
174, -94, 0, 94, 0
373, -6, 0, 206, 0
577, -7, 40, 322, 0
406, -30, 10, 230, 0
514, -86, 10, 286, 0
513, -95, 80, 295, 0
242, -29, 40, 129, 0
248, -46, 0, 146, 0
650, 1742, 150, 359, 1
291, -56, 0, 156, 0
226, -20, 0, 120, 0
359, -97, 110, 197, 0
309, -83, 130, 183, 0
153, -80, 0, 80, 0
173, -93, 0, 93, 0
188, -1, 20, 101, 0
344, -79, 90, 179, 0
145, -82, 0, 82, 0
263, -53, 10, 153, 0
336, -90, 50, 190, 0
607, 928, 1060, 330, 1
271, -51, 50, 151, 0
321, -72, 0, 172, 0
422, -27, 0, 227, 0
495, -2, 20, 302, 0
84, -46, 0, 46, 0
231, -23, 0, 123, 0
803, -51, 150, 468, 0
317, -81, 90, 181, 0
91, -49, 0, 49, 0
158, -84, 0, 84, 0
342, -1, 10, 201, 0
667, 452, 470, 360, 1
404, -24, 160, 224, 0
302, -64, 50, 164, 0
196, -7, 0, 107, 0
174, -98, 0, 98, 0
133, -71, 0, 71, 0
97, -57, 0, 57, 0
362, -7, 20, 207, 0
548, 701, 310, 303, 1
661, 2687, 390, 370, 1
201, -11, 0, 111, 0
243, -33, 50, 133, 0
304, -72, 30, 172, 0
696, -22, 240, 422, 0
190, -5, 0, 105, 0
264, -42, 40, 142, 0
243, -32, 30, 132, 0
610, 4526, 360, 335, 1
208, -11, 0, 111, 0
519, -91, 10, 291, 0
304, -69, 100, 169, 0
272, -50, 20, 150, 0
157, -83, 0, 83, 0
331, -83, 50, 183, 0
120, -72, 0, 72, 0
222, -20, 0, 120, 0
525, -10, 140, 310, 0
343, -86, 0, 186, 0
360, -1, 50, 201, 0
693, 1206, 260, 398, 1
164, -86, 0, 86, 0
230, -24, 0, 124, 0
666, 367, 260, 385, 1
362, -1, 110, 201, 0
191, -1, 0, 101, 0
180, -2, 0, 102, 0
282, -51, 0, 151, 0
366, -96, 100, 196, 0
190, -2, 0, 102, 0
364, -3, 60, 203, 0
284, -53, 0, 153, 0
328, -83, 10, 183, 0
118, -63, 0, 63, 0
831, 901, 270, 482, 1
122, -66, 0, 66, 0
227, -25, 0, 125, 0
341, -98, 0, 198, 0
667, -59, 10, 365, 0
365, -99, 0, 199, 0
468, -47, 10, 254, 0
173, -99, 0, 99, 0
129, -69, 0, 69, 0
123, -72, 80, 72, 0
245, -34, 80, 134, 0
262, -40, 20, 140, 0
436, -54, 10, 254, 0
496, -86, 30, 286, 0
573, 588, 290, 314, 1
305, -72, 50, 172, 0
150, -79, 0, 79, 0
272, -46, 70, 146, 0
483, -92, 0, 292, 0
999, 1884, 180, 572, 1
234, -28, 20, 128, 0
483, -83, 10, 283, 0
181, -1, 0, 101, 0
123, -68, 0, 68, 0
824, -15, 160, 472, 0
315, -71, 230, 171, 0
229, -24, 180, 124, 0
324, -75, 20, 175, 0
307, -66, 90, 166, 0
294, -65, 0, 165, 0
487, -77, 160, 277, 0
117, -70, 0, 70, 0
661, 629, 500, 372, 1
487, -76, 720, 276, 0
125, -66, 0, 66, 0
382, -25, 0, 225, 0
159, -83, 0, 83, 0
1218, -1, 30, 723, 0
609, -71, 350, 325, 0
210, -12, 0, 112, 0
187, -17, 0, 117, 0
294, -4, 190, 154, 0
312, -75, 0, 175, 0
269, -41, 0, 141, 0
261, -54, 50, 154, 0
315, -71, 30, 171, 0
602, 4095, 370, 345, 1
263, -42, 90, 142, 0
639, -76, 10, 376, 0
361, -94, 0, 194, 0
206, -10, 0, 110, 0
723, -94, 190, 398, 0
300, -70, 0, 170, 0
147, -77, 0, 77, 0
132, -75, 0, 75, 0
980, -67, 30, 572, 0
600, 1933, 400, 327, 1
306, -68, 70, 168, 0
434, 674, 170, 233, 1
326, -87, 40, 187, 0
599, 1070, 140, 332, 1
148, -80, 0, 80, 0
263, -51, 0, 151, 0
79, -43, 0, 43, 0
319, -72, 170, 172, 0
239, -32, 10, 132, 0
187, -1, 0, 101, 0
1568, 614, 110, 913, 1
208, -12, 0, 112, 0
214, -13, 80, 113, 0
788, 2470, 420, 441, 1
149, -80, 0, 80, 0
358, -93, 0, 193, 0
347, -100, 50, 200, 0
196, -5, 0, 105, 0
82, -43, 10, 43, 0
191, -5, 0, 105, 0
266, -42, 30, 142, 0
355, -95, 50, 195, 0
141, -75, 0, 75, 0
368, -99, 70, 199, 0
271, -45, 120, 145, 0
475, -69, 20, 269, 0
156, -83, 0, 83, 0
156, -86, 0, 86, 0
165, -88, 0, 88, 0
213, -12, 0, 112, 0
401, -24, 90, 224, 0
600, -21, 30, 333, 0
387, -28, 30, 228, 0
393, -10, 140, 210, 0
257, -43, 60, 143, 0
112, -68, 0, 68, 0
327, -84, 0, 184, 0
497, -67, 90, 267, 0
125, -68, 0, 68, 0
237, -29, 0, 129, 0
188, -100, 0, 100, 0
90, -52, 0, 52, 0
461, 1502, 160, 258, 1
249, -44, 0, 144, 0
391, -20, 60, 220, 0
207, -18, 80, 118, 0
755, 1443, 350, 418, 1
200, -11, 0, 111, 0
247, -34, 0, 134, 0
792, 2681, 110, 425, 1
465, -15, 440, 268, 0
342, -97, 30, 197, 0
934, 2106, 190, 547, 1
287, -53, 60, 153, 0
419, -26, 50, 228, 0
243, -36, 70, 136, 0
751, 587, 540, 414, 1
702, 980, 270, 385, 1
427, 1326, 190, 226, 1
276, -46, 30, 146, 0
511, -86, 210, 286, 0
642, 650, 120, 351, 1
281, -52, 70, 152, 0
290, -66, 0, 166, 0
242, -40, 130, 140, 0
165, -90, 0, 90, 0
299, -71, 210, 171, 0
214, -14, 100, 114, 0
198, -16, 0, 116, 0
298, -63, 70, 163, 0
266, -43, 130, 143, 0
141, -75, 0, 75, 0
704, 610, 450, 391, 1
120, -61, 0, 61, 0
482, -12, 170, 264, 0
498, -27, 20, 282, 0
234, -28, 40, 128, 0
237, -31, 0, 131, 0
766, 1522, 120, 431, 1
420, -35, 130, 235, 0
607, 90, 310, 334, 1
191, -1, 10, 101, 0
463, -67, 120, 267, 0
300, -75, 20, 175, 0
375, -12, 0, 212, 0
387, -17, 30, 217, 0
219, -16, 140, 116, 0
956, -19, 20, 570, 0
193, -2, 0, 102, 0
152, -86, 0, 86, 0
188, -98, 0, 98, 0
160, -87, 0, 87, 0
561, 197, 280, 324, 1
227, -26, 40, 126, 0
263, -39, 40, 139, 0
268, -48, 40, 148, 0
559, 366, 270, 300, 1
833, -1, 50, 501, 0
252, -32, 100, 132, 0
445, -41, 100, 241, 0
276, -49, 0, 149, 0
268, -46, 30, 146, 0
823, -1, 20, 501, 0
251, -34, 0, 134, 0
125, -72, 0, 72, 0
279, -60, 30, 160, 0
110, -58, 0, 58, 0
324, -67, 150, 167, 0
192, -101, 40, 101, 0
320, -74, 0, 174, 0
225, -18, 30, 118, 0
656, -57, 50, 366, 0
798, 560, 560, 441, 1
373, -13, 50, 213, 0
280, -67, 30, 167, 0
578, 1451, 560, 319, 1
688, -1, 10, 405, 0
296, -60, 0, 160, 0
265, -37, 60, 137, 0
319, -59, 240, 168, 0
234, -25, 0, 125, 0
572, -77, 10, 327, 0
508, -85, 110, 285, 0
279, -47, 0, 147, 0
569, 1249, 270, 302, 1
153, -80, 0, 80, 0
355, -88, 60, 188, 0
238, -40, 90, 140, 0
195, -6, 0, 106, 0
272, -42, 140, 142, 0
154, -81, 0, 81, 0
323, -85, 90, 185, 0
219, -23, 10, 123, 0
179, -1, 30, 101, 0
473, -54, 20, 254, 0
364, -98, 50, 198, 0
159, -94, 30, 94, 0
167, -89, 0, 89, 0
342, -89, 0, 189, 0
294, -65, 10, 165, 0
408, -65, 250, 216, 0
220, -20, 30, 120, 0
205, -11, 0, 111, 0
302, -63, 0, 163, 0
262, -43, 10, 143, 0
668, 1674, 130, 377, 1
290, -66, 10, 166, 0
214, -18, 0, 118, 0
340, -80, 460, 183, 0
116, -60, 0, 60, 0
374, -8, 40, 208, 0
543, -1, 200, 301, 0
530, -2, 30, 302, 0
382, -13, 90, 213, 0
125, -66, 0, 66, 0
800, -100, 130, 451, 0
294, -56, 20, 156, 0
276, -48, 50, 148, 0
686, 1969, 240, 383, 1
1060, 321, 200, 631, 1
312, -71, 10, 171, 0
379, -12, 230, 212, 0
101, -53, 0, 53, 0
239, -30, 10, 130, 0
329, -95, 80, 195, 0
315, -76, 60, 176, 0
115, -63, 0, 63, 0
106, -66, 0, 66, 0
248, -39, 100, 139, 0
226, -22, 0, 122, 0
265, -50, 80, 150, 0
252, -42, 10, 142, 0
208, -13, 0, 113, 0
342, -88, 0, 188, 0
596, -68, 40, 368, 0
571, -32, 30, 332, 0
307, -65, 50, 165, 0
370, -1, 170, 201, 0
739, -95, 100, 429, 0
213, -11, 0, 111, 0
681, 621, 610, 380, 1
137, -75, 90, 75, 0
758, -37, 40, 438, 0
202, -5, 50, 105, 0
239, -27, 40, 127, 0
137, -72, 0, 72, 0
372, -4, 30, 204, 0
341, -90, 120, 190, 0
546, 1050, 210, 301, 1
997, 1330, 130, 576, 1
222, -22, 20, 122, 0
677, 1190, 370, 382, 1
287, -59, 0, 159, 0
294, -55, 360, 155, 0
166, -90, 0, 90, 0
619, -61, 80, 361, 0
627, 1526, 200, 344, 1
1076, 1067, 210, 599, 1
329, -80, 0, 180, 0
257, -39, 0, 139, 0
585, -36, 70, 336, 0
282, -56, 0, 156, 0
380, -22, 10, 222, 0
106, -53, 0, 53, 0
272, -50, 20, 150, 0
472, -62, 470, 267, 0
166, -86, 0, 86, 0
151, -80, 0, 80, 0
134, -72, 20, 72, 0
396, -16, 70, 216, 0
288, -49, 100, 149, 0
244, -31, 0, 131, 0
340, -88, 30, 188, 0
309, -85, 20, 185, 0
285, -57, 0, 157, 0
219, -21, 0, 121, 0
391, -18, 70, 218, 0
178, -95, 50, 95, 0
279, -59, 130, 159, 0
371, -6, 10, 206, 0
384, -9, 80, 209, 0
927, -86, 110, 536, 0
712, 3012, 250, 391, 1
259, -39, 50, 139, 0
363, -100, 50, 200, 0
374, -5, 50, 205, 0
1016, 3400, 310, 567, 1
212, -22, 110, 122, 0
191, -14, 0, 114, 0
577, -19, 10, 322, 0
273, -54, 0, 154, 0
170, -92, 50, 92, 0
202, -7, 0, 107, 0
299, -69, 90, 169, 0
143, -77, 0, 77, 0
409, -20, 20, 220, 0
427, -17, 550, 242, 0
614, 1700, 250, 353, 1
816, 1898, 260, 455, 1
305, -67, 20, 167, 0
255, -34, 100, 134, 0
486, 338, 110, 263, 1
255, -40, 0, 140, 0
578, 676, 650, 325, 1
271, -47, 60, 147, 0
119, -63, 0, 63, 0
584, 2236, 120, 325, 1
559, -1, 40, 302, 0
198, -8, 0, 108, 0
334, -79, 60, 179, 0
95, -51, 0, 51, 0
348, -92, 0, 192, 0
156, -87, 0, 87, 0
456, -83, 380, 250, 0
212, -20, 0, 120, 0
241, -29, 0, 129, 0
205, -10, 0, 110, 0
438, -50, 50, 250, 0
346, -97, 210, 197, 0
248, -34, 70, 134, 0
91, -48, 0, 48, 0
407, -30, 0, 230, 0
299, -58, 150, 158, 0
276, -50, 20, 150, 0
716, 1179, 400, 403, 1
178, -3, 0, 103, 0
838, -1, 50, 501, 0
471, -73, 50, 273, 0
222, -20, 0, 120, 0
330, -78, 0, 178, 0
260, -43, 80, 143, 0
466, -53, 70, 253, 0
399, -7, 80, 220, 0
742, 285, 190, 435, 1
649, 705, 290, 352, 1
559, -15, 60, 315, 0
322, -73, 0, 173, 0
578, -9, 340, 309, 0
229, -23, 10, 123, 0
353, -89, 160, 189, 0
1330, 2971, 250, 787, 1
252, -36, 40, 136, 0
460, -70, 70, 270, 0
283, -60, 0, 160, 0
602, 195, 360, 343, 1
588, 183, 340, 321, 1
249, -33, 120, 133, 0
315, -67, 10, 167, 0
732, 1843, 110, 411, 1
473, -73, 30, 273, 0
301, -68, 20, 168, 0
496, -30, 50, 280, 0
150, -93, 0, 93, 0
353, -95, 110, 195, 0
761, 1389, 720, 426, 1
907, 693, 120, 510, 1
101, -54, 0, 54, 0
184, -1, 0, 101, 0
210, -17, 0, 117, 0
964, 510, 310, 547, 1
258, -41, 0, 141, 0
625, 655, 680, 346, 1
394, -41, 490, 212, 0
109, -62, 0, 62, 0
267, -42, 60, 142, 0
362, -4, 40, 204, 0
253, -37, 0, 137, 0
372, -97, 20, 200, 0
278, -51, 10, 151, 0
266, -49, 0, 149, 0
252, -34, 10, 134, 0
545, -1, 60, 314, 0
542, 910, 580, 311, 1
194, -8, 0, 108, 0
231, -28, 0, 128, 0
655, 49, 320, 364, 1
362, -95, 30, 195, 0
736, 340, 110, 427, 1
257, -50, 0, 150, 0
328, -78, 200, 178, 0
514, -98, 30, 298, 0
239, -27, 0, 127, 0
396, -68, 30, 218, 0
391, -19, 20, 219, 0
189, -101, 80, 101, 0
190, -1, 0, 101, 0
101, -52, 0, 52, 0
301, -66, 240, 171, 0
885, 1017, 130, 484, 1
571, -73, 20, 323, 0
282, -53, 40, 153, 0
261, -49, 20, 149, 0
634, 4771, 280, 353, 1
689, -1, 70, 406, 0
256, -33, 150, 133, 0
620, 163, 330, 349, 1
251, -43, 0, 143, 0
216, -14, 100, 114, 0
451, -61, 10, 261, 0
225, -26, 20, 126, 0
277, -59, 0, 159, 0
110, -62, 0, 62, 0
515, -99, 20, 299, 0
135, -75, 0, 75, 0
195, -2, 0, 102, 0
90, -47, 0, 47, 0
204, -5, 0, 105, 0
236, -35, 0, 135, 0
194, -1, 120, 101, 0
220, -19, 60, 119, 0
355, -89, 100, 189, 0
367, -14, 0, 214, 0
566, 2394, 360, 309, 1
129, -67, 0, 67, 0
218, -17, 40, 117, 0
239, -29, 40, 129, 0
199, -7, 40, 107, 0
735, 591, 430, 416, 1
146, -79, 30, 79, 0
742, 594, 490, 407, 1
255, -33, 10, 133, 0
331, -82, 0, 182, 0
388, -25, 60, 225, 0
104, -54, 0, 54, 0
288, -58, 60, 158, 0
293, -63, 100, 163, 0
192, -1, 90, 101, 0
299, -66, 0, 166, 0
557, -10, 90, 310, 0
247, -28, 360, 130, 0
134, -72, 0, 72, 0
242, -28, 180, 133, 0
300, -61, 90, 161, 0
398, -36, 0, 236, 0
379, -10, 70, 210, 0
251, -34, 50, 134, 0
412, -17, 50, 217, 0
322, -75, 70, 175, 0
213, -17, 0, 117, 0
271, -43, 30, 143, 0
551, -4, 450, 304, 0
273, -54, 0, 154, 0
313, -27, 50, 177, 0
223, -16, 130, 116, 0
648, -26, 510, 383, 0
288, -58, 70, 158, 0
178, -95, 0, 95, 0
106, -54, 0, 54, 0
245, -34, 0, 134, 0
353, -6, 70, 206, 0
183, -3, 10, 103, 0
578, 390, 140, 325, 1
1039, -29, 50, 629, 0
402, -27, 0, 227, 0
92, -47, 0, 47, 0
123, -65, 0, 65, 0
401, -16, 80, 216, 0
225, -25, 0, 125, 0
155, -1, 0, 101, 0
260, -41, 0, 141, 0
348, -94, 0, 194, 0
518, -101, 0, 301, 0
120, -65, 0, 65, 0
495, -76, 170, 276, 0
262, -45, 40, 145, 0
1025, -26, 20, 626, 0
172, -94, 10, 94, 0
278, -47, 70, 147, 0
307, -64, 0, 164, 0
422, -38, 10, 238, 0
186, -1, 0, 101, 0
1123, -93, 140, 694, 0
554, 206, 330, 315, 1
180, -96, 0, 96, 0
400, -21, 10, 221, 0
410, -35, 0, 235, 0
301, -58, 360, 158, 0
267, -47, 0, 147, 0
785, -25, 1190, 440, 0
384, -20, 20, 220, 0
295, -63, 0, 163, 0
335, -84, 60, 184, 0
848, -23, 10, 523, 0
108, -58, 0, 58, 0
269, -47, 0, 147, 0
341, -88, 80, 188, 0
398, -10, 40, 210, 0
214, -17, 0, 117, 0
179, -1, 0, 101, 0
461, -65, 40, 265, 0
335, -98, 10, 198, 0
